{'step': 0, 'loss': 2.2870683670043945, 'ce': 1.5916471481323242, 'dice': 0.9934589862823486}
{'step': 100, 'loss': 1.0673738718032837, 'ce': 0.36753183603286743, 'dice': 0.9997743368148804}
{'step': 200, 'loss': 0.9154778718948364, 'ce': 0.21572789549827576, 'dice': 0.9996427893638611}
{'step': 300, 'loss': 0.8194475769996643, 'ce': 0.20444472134113312, 'dice': 0.8785755634307861}
{'step': 400, 'loss': 0.7902928590774536, 'ce': 0.20894886553287506, 'dice': 0.8304914236068726}
{'step': 500, 'loss': 0.7207453846931458, 'ce': 0.12578725814819336, 'dice': 0.8499401807785034}
{'step': 600, 'loss': 0.7402333617210388, 'ce': 0.0414760448038578, 'dice': 0.998224675655365}
{'step': 700, 'loss': 0.6786288022994995, 'ce': 0.055271297693252563, 'dice': 0.8905107975006104}
{'step': 800, 'loss': 0.7200683951377869, 'ce': 0.02238837257027626, 'dice': 0.9966857433319092}
{'step': 900, 'loss': 0.6510041356086731, 'ce': 0.03678834065794945, 'dice': 0.8774511218070984}
{'step': 1000, 'loss': 0.7094311118125916, 'ce': 0.013380038551986217, 'dice': 0.9943586587905884}
{'step': 1100, 'loss': 0.8878622055053711, 'ce': 0.3735143542289734, 'dice': 0.7347826957702637}
{'step': 1200, 'loss': 0.700817346572876, 'ce': 0.007885017432272434, 'dice': 0.9899033308029175}
{'step': 1300, 'loss': 0.6034950613975525, 'ce': 0.023394789546728134, 'dice': 0.8287147283554077}
{'step': 1400, 'loss': 0.6574781537055969, 'ce': 0.057583052664995193, 'dice': 0.8569930791854858}
{'step': 1500, 'loss': 1.0544111728668213, 'ce': 0.512848973274231, 'dice': 0.7736602425575256}
{'step': 1600, 'loss': 0.6792880892753601, 'ce': 0.0027014631778001785, 'dice': 0.9665523171424866}
{'step': 1700, 'loss': 0.49368932843208313, 'ce': 0.04465009644627571, 'dice': 0.6414846181869507}
{'step': 1800, 'loss': 0.8887808322906494, 'ce': 0.362246036529541, 'dice': 0.7521925568580627}
{'step': 1900, 'loss': 0.720774233341217, 'ce': 0.26196059584617615, 'dice': 0.6554480791091919}
{'step': 2000, 'loss': 0.5584428906440735, 'ce': 0.16505388915538788, 'dice': 0.5619843006134033}
{'step': 2100, 'loss': 0.1715698540210724, 'ce': 0.009667825885117054, 'dice': 0.2312886118888855}
{'step': 2200, 'loss': 0.5407912731170654, 'ce': 0.1477632373571396, 'dice': 0.5614686608314514}
{'step': 2300, 'loss': 0.03283112868666649, 'ce': 3.192916210537078e-06, 'dice': 0.046897053718566895}
{'step': 2400, 'loss': 0.021216804161667824, 'ce': 1.9919809801649535e-06, 'dice': 0.030306875705718994}
